characteristic_1	characteristic_2	characteristic_3	characteristic_4	characteristic_5
я мама.	У меня три сына, муж .	У нас дома не бывает скучно.	пытаюсь найти работу	хочу похудеть	
Я работаю учителем танцев	Я не умею готовить	Я очень люблю суши	У меня есть квартира	Я в разводе	
Я домохозяйка	Я мама двоих детей	Я люблю вышивать	Я люблю готовить	У меня есть мопед	
Окончила ВУЗ за границей.	Живу в Испании.	люблю плавать.	У меня клаустрофобия.	У меня двое детей.	
Хорошо готовлю	Я фанат узбекской кухни.	Хорошо считаю в уме	Моя мечта - ресторан.	я люблю спорт.	
Я летчик-испытатель.	Женат.	Люблю свою работу.	Хорошо пою.	Мечтаю прославиться.	
Я электрик	Я очень люблю рыбалку	У меня есть кот	Я развожу фиалки	Я путешествовал автостопом	
Я работаю в баре.	Я люблю сладкое.	У меня отличная память.	Я пишу сказки.	Я увлекаюсь плаванием.	
я тренер по фитнесу	я веду ЗОЖ	у меня есть попугай	я пишу стихи	я училась на спортфаке	
Я учусь в школе.	Я занимаюсь трайблом.	У меня есть орхидея.	Я люблю готовить кофе.	Я хорошо рисую.	
Я спортсмен	Я люблю рок-музыку	У меня есть племянница	Я хорошо танцую	Я увлекаюсь кулинарией	
Я безработный.	Я каратист.	Я хочу жить за границей.	Я люблю играть в теннис.	Я развожу кроликов.	
Я Андрей.	Мне 45 лет.	У две дочки.	Я выплатил ипотеку.	Мне нравится играть в танки.	
Я дворник.	Женат на приятельнице.	Мне нравится пиво.	С едой не перебарщиваю.	Боюсь астероидов.	
У меня есть муж.	Я замужем.	Я жду малыша.	Я очень люблю детей.	У меня есть младшая сестра.	
Я учусь в институте.	Я хочу похудеть.	Я люблю музыку.	Я развожу рыбок.	Я уеду на море.	
Я люблю рисовать.	У меня два попугая.	Я работаю в магазине.	Вчера я видела снегирей.	У меня сын.	
Я работаю поваром.	Я живу в городе.	У меня есть плащ.	Я люблю гулять.	Я люблю огурцы.	
Я меломан.	Слушаю джаз.	Хожу на концерты.	Люблю вино.	Есть собака.	
Я мастер спорта.	Люблю путешествовать.	У меня есть попугай.	Нравятся розы.	Вечером бегаю в парке.	
Я хороший друг	Я работаю косметологом	Проживаю в городе Хвалынск	Пишу стихи	Люблю отдыхать на природе	
Я водитель	У меня пятеро детей	У меня есть моторная лодка	Я люблю свою семью	Я люблю футбол	
У меня есть дом в лесу	Я люблю играть в телефон	Я хорошо готовлю	Я учитель	Я люблю рисовать	
Я люблю мясо.	Я люблю шапки.	Я не ем сладкое.	Я позитивный.	Я люблю шутить.	
Я подросток.	У меня есть девушка.	Я люблю компьютерные игры.	Я люблю бургеры.	Я не курю.	
Я учусь в школе.	Я люблю животных.	У меня есть кот.	Моя мама медсестра.	Я люблю свою семью.	
я менеджер	работаю в магазине	люблю своего парня	я из Магнитогорска	смотрю видео про косметику	
Я люблю животных.	Я увлекаюсь танцами.	Я закончила институт.	У меня есть права.	Я хорошо рисую.	
я работаю доктором	люблю вкусную еду	я обожаю автомобили	люблю свою работу	у меня много друзей	
Люблю классику.	Работаю с книгами.	Верю в инопланетян.	Фанат Стивена Кинга.	Мечтаю посетить Италию.	
Я девушка	Работаю в клубе	У меня есть ребёнок	Люблю читать книги	Занимаюсь фотографией	
Я горнолыжник	У меня внедорожник.	Родители в деревушке.	Хочу научиться рисовать.	У меня борода.	
Я играю в хоккей.	Я слушаю песни 70-х.	Я жил во Франции.	Я люблю пиво.	У меня есть внучка..	
я люблю плавать	я умею готовит	я люблю конфеты	я работаю поваром	я люблю огурцы	
Я - дизайнер.	Я живу в мегаполисе.	Я скоро выхожу замуж.	Я люблю море.	У меня есть две кошки.	
Я военный.	У меня есть дети.	Я езжу на мотоцикле.	Я занимаюсь рыбалкой.	У меня много родных.	
У меня есть автомобиль	Работаю курьером	Высаживаю цветы	Делаю подделки	Люблю мороженое	
Я домохозяйка.	Я не люблю готовить..	У меня есть сын.	Я обожаю смотреть сериалы.	Я люблю вязать.	
Я девочка.	Я люблю мультфильмы.	Я люблю своих родителей.	Я не люблю зиму.	Сейчас я делаю уроки.	
Я студент.	Увлекаюсь плаванием.	Учу английский.	Мечтаю открыть бизнес.	Люблю ходить в кинотеатр.	
Я вдова.	Я работаю в отеле.	Я люблю животных	Я люблю активный отдых.	У меня 4 собаки	
Я девушка 21 год.	У меня есть собака.	Я работаю ветеринаром.	Я люблю читать.	Я часто хожу в бассейн.	
Я учитель физики.	Люблю слушать рок.	Люблю покушать.	Обожаю фильмы про космос.	Коплю на телескоп.	
Я домохозяйка.	Вышла замуж после школы.	Есть двое детей.	Обожаю готовить.	Мечтаю об отпуске.	
Я Ветеринар	Я люблю петь	Я живу с родителями	Я живу на пятом этаже	Я боюсь высоты	
Я волонтер	Я люблю делать добро	У меня есть две кошки	Мои родители врачи	Я люблю активный отдых	
Я девушка	Мне 23 года	Учусь на дизайнера	Люблю читать и смотреть фильмы	Хочу посетить Германию	
Я студент	Много читаю	Мечтаю путешествовать	Начал копить деньги	И еще люблю мороженное	
У меня есть собака.	Его зовут мальчики.	Апроололд	Рыжий.	Он плавает.	
Я учитель младших классов.	Я езжу на байке.	Люблю белый шоколад.	Живу с кошкой.	Люблю детей.	
Я учитель	Я пеку торты	Я люблю Индию	Я люблю рисовать	Я за справедливость	
Я воспитатель	люблю готовить	люблю велоспорт	Увлекаюсь магией	Есть черная кошка	
Я работаю секретарем.	Люблю велосипед.	Мой дом на берегу моря.	Люблю оливки.	У меня есть хомяк.	
я оптимист	я люблю рыбалку	у меня двое детей	я летом поеду на Алтай	я умею рисовать шаржи	
Работая в больнице.	Мне 35 лет.	Люблю смотреть фильмы.	Любимый напиток кофе.	Люблю бананы.	
я водитель.	я холостой	три племянников и племянниц	я плохо готовлю	я бегаю по утрам	
Я санитар.	Пока не женат.	Люблю делать массаж.	У меня есть яхта.	Мечтаю объехать весь мир.	
Я обычная девочка	Играю на фортепиано	Выучила 7 языков	Хожу в зал	Котик по имени Финик	
Я работаю врачом.	Я люблю собак.	Я хорошо готовлю.	Я люблю сладкое.	Я не замужем.	
я слесарь	я люблю собирать ягоды	умею косить сено	слушаю джаз	я живу на 9 этаже	
Я бухгалтер	У меня есть сын	Хочу покататься на коньках	Готовлю суши дома	Ищу свою любовь	
Я увлекаюсь спортом	У меня есть тату	Люблю общаться	Часто гуляю	Умею летать на дельтаплане	
Я таксист.	Я мечтаю стать депутатом.	Я люблю плавать.	Мечтаю объехать весь мир.	Я бедный.	
Я торгую цветами.	Я люблю красный цвет.	Я живу с бабушкой.	Я часто хожу гулять.	Я люблю море.	
Я женщина.	Я преподаватель.	Я живу на первом этаже.	Я люблю рукоделие.	Я люблю путешествовать.	
Я очень нервный	Люблю спать.	Люблю есть.	Люблю сериалы.	Играю в игры.	
Я программист.	Есть кот.	Люблю танцевать.	Холост.	Не люблю шумные компании.	
Мой девиз: Всегда веселись.	Работаю клоуном.	Любуюсь звездами.	Влюблен.	Смотрю фильмы ужасов.	
Я Вениамин.	Люблю мясо на гриле.	Я работаю комбайнером.	Жму штангу	Вечерами читаю фантастику.	
Я учитель.	У меня есть дети.	Я люблю заниматься рукоделием.	Я люблю спокойствие.	Занимаюсь волейболом	
Я живы на море	Я люблю рыбалку	У меня есть кошка	Я мечтаю посетить Эрмитаж	У меня есть баркас	
Я хорошо варю.	У меня есть кот.	Я люблю сосиски.	Я умею шить.	Я вышла замуж.	
Я инженер	У меня хорошая жена	Я делаю зарядку утром	Я выращиваю помидоры	Я люблю теннис	
Я репетитор.	Люблю рэп.	Собираю значки.	Моя девушка кухарка.	У меня есть дочь.	
Я работаю фельдшером	Я люблю помогать людям.	Мне нравятся сериалы.	Я люблю музыку.	Я много читаю.	
Я студентка.	Я хочу завести собаку	Я хочу стать актрисой	Я люблю мандарины	Я скоро пойду в театр	
Я учитель.	Я живу в мегаполисе.	Друзья ценят меня.	Я люблю кино.	Я не умею шить.	
Я мужчина	Окончил институт	Работаю инженером	Люблю кататься на лыжах	Посещаю театральный кружок	
Я люблю автомобили	Я дизайнер	У меня есть девушка	Я люблю отдыхать в горах	Я коллекционирую бабочек	
люблю фильмы.	у меня есть кошечка .	мои родители разведены .	не видела пальм.	мечтаю о волшебстве.	
я парикмахер	у меня есть кот	люблю гулять по парку	увлекаюсь готовкой и коктейлями	одинока	
Я бухгалтер.	Я люблю рыбалку.	Живу в доме.	Хорошо делаю заготовки.	У меня есть внук.	
я тамада	я живу в мегаполисе	недавно закончил вуз	мечтаю объехать весь мир	вчера купил собаку	
Я предприниматель	У меня сын	Я люблю котиков	Я хорошо играю в шашки	Моя мать библиотекарь	
Я работаю на заводе	У меня есть шрам	Служил в ВДВ	Подрабатываю в такси	Люблю боевики	
Я люблю мороженое.	У меня нет детей.	Мечтаю увидеть океан.	Боюсь пауков.	Хорошо рисую.	
Я кассирша	Никогда не была замужем	Люблю заниматься спортом	Хобби - коллекционирование	Люблю собак	
Я люблю танцевать.	У меня две собаки.	Я живу с подругой.	Я ездил в отпуск.	Я люблю киви.	
Я мама.	Я воспитываю троих детей.	Я путешествую.	Я хочу стать блогером.	Я занимаюсь танцами.	
играю в футбол	бегаю	пью фиточай	хожу в фитнес-клуб	есть собака	
Я молодая, красивая девушка.	люблю сладкое.	Занимаюсь спортом.	Вожу автомобиль.	Развожу щенков.	
я учусь в школе	я люблю физику	я люблю животных	я катаюсь на коньках	я занимаюсь плетением	
Я люблю кошек	У меня есть брат	Я боюсь пауков	Я живу с мамой	Я люблю сериалы	
У меня есть бабушка.	Я умею петь.	Я люблю помидоры.	Я не видел крокодила.	Я не люблю киви.	
Я режиссер.	Часто летаю на отпуск.	Люблю смотреть сериалы.	Есть два ребенка.	Люблю животных.	
Я учитель	Люблю детей	Люблю грузинскую кухню	Умею отдыхать с семьёй	Мечтаю стать директором	
Я радиолюбитель.	Я люблю выступать.	Я люблю говорить.	Я люблю людей.	Я сангвиник.	
Я учитель	Люблю детей	Очень веселая	Бегаю по утрам	Люблю гулять	
Я хорошо готовлю	Я знаю английский язык	Я студент	У меня есть два брата	Я играю в футбол	
Я мальчик	Я учусь в 6-ом классе	Хочу стать гонщиком	У меня есть сестра	Мечтаю о машине	
Я школьник	Хочу стать нейрохирургом	Люблю плавание	Выступаю в соревнованиях	Люблю моих друзей	
Я художник.	Я не пью.	Я люблю гулять в парке.	Я высокий.	Я хорошо танцую.	
Я военный	У меня четверо детей	дважды был женат	Мечтаю о Париже	Играю в футбол	
я высокий блондин	я учусь в медицинском институте	я люблю пиво	я хочу машину	меня бросила девушка	
Я женщина.	Мне 50 лет	Я не работаю	У меня есть муж	Мою дочку зовут Настя	
Я студентка	Увлекаюсь фотографией	Волонтер нашего города	Есть младшая сестра	Буду репортером	
У меня два кота	Я люблю сериалы	Я люблю готовить	Я живу на первом этаже	Я увлекаюсь писательством	
Я педиатр.	Моему сыну 10 лет.	Я люблю лето.	Мечтаю увидеть море.	Хочу завести енота.	
Я люблю сладкое.	У меня 3 детей.	Я пеку торты .	Я работаю в банке.	Я хожу гулять.	
Я хорошо пою.	Я люблю биатлон.	Мне нравиться рисовать.	Я люблю спорт.	Я люблю слушать музыку.	
Я студентка	Я занимаюсь фитнесом	Я люблю салаты	Я позитивно смотрю на жизнь	Я хочу водить машину	
я Олег	Мне 45 лет	У меня 2 сына и дочь	Дома живет огромный лабрадор	Увлекаюсь музыкой	
я уборщик	люблю чистоту	ненавижу идиотов	читаю роман	есть птица	
Я работаю в кафе	Мечтаю научиться готовить	Я много читаю	У меня 2 кошки	Я люблю сыр	
Я рыжий.	Я ношу очки.	Я весёлый.	Я играю в баскетбол.	Я член ЛДПР.	
Я студент	Я люблю бегать	Я редко провожу выходные дома	Я часто навещаю родителей	Я мечтаю о попугае	
Учусь в универе.	Изучаю латынь.	Занимаюсь лёгкой атлетикой.	Есть девушка.	Хочу купить машину.	
Я мама двоих детей.	Прекрасно вяжу.	Подцепила ветрянку от детей.	Не имею телевизора.	Я жаворонок.	
Я программист.	Я мечтаю стать космонавтом.	У меня есть жена.	Я люблю мороженое.	Я хорошо пою.	
Я студент	Подрабатываю грузчиком	У меня есть девушка	Люблю отдыхать	Люблю играть в футбол	
Я работал в аптеке	Я снимался в кино	Я сейчас директор СТО	Я бросил курить	Я веган	
Я студент	Я помогаю онкологически больным детям	Я люблю животных	Я люблю еду	У меня есть кот	
Я БОМЖ живу в коттедже	Люблю есть пиццу	Смотрю ютюб	Знаю все о веселом отдыхе	Увлекаюсь рыбалкой	
Я домохозяйка	У меня есть муж и ребенок	Я вкусно готовлю	Люблю читать книги	Умею вышивать крестиком	
Я люблю рыбалку.	Я живу на пятом этаже.	У меня двое детей.	Я летом ездил на море.	Я хорошо плаваю.	
Я мужчина.	Люблю животных.	Веселый человек.	Обожаю борщ.	Всегда готов дружить.	
Я прораб на стройке.	У меня есть жена и сын.	Я окончил ВУЗ.	Люблю кино.	Все ремонтируют сам.	
Я люблю воду	Я учусь в институте	У меня есть мама	Я не курю	Я люблю петь	
Я юрист.	Люблю путешествовать.	У меня есть жена и дочь.	Смотрю много фильмов.	Помогаю в приюте.	
Я Антон.	Я учусь в МГИМО.	Я увлекаюсь боксом.	У меня дорогое авто.	Люблю лето.	
Я офисный работник	Я люблю свой коллектив	Я рано встаю	Я печатаю на компьютере	У меня есть кошка	
работаю в магазине	собираю вазочки	люблю ходить в походы	люблю читать книги	ненавижу телевизор	
Я педагог.	Я люблю детей.	Люблю цветы.	У меня есть собака.	Любимые фильмы мелодрамы.	
Я студент.	Я учусь в колледже.	Я люблю пельмени.	Я хожу в спортзал.	Я хорошо готовлю	
Я музыкант	У меня много поклонников	Я пишу песни	Я люблю танцевать	Я езжу на гастроли	
Я дизайнер.	выхожу замуж.	у меня есть крестник.	Я не плохо готовлю.	Я очень сильно боюсь темноты.	
Я шью одежду.	У меня есть улитка.	Я люблю курицу.	Я живу за границей.	Я правша.	
Сажаю яблони	Собираю яблоки	Варю варенье	Делаю компоты Рублю дрова	Хожу в баню	
У меня есть коллекция ножей	Я люблю готовить.	Вчера я вышла замуж.	У меня родится дочь.	Я живу на четвертом этаже	
Я учусь на медсестру.	Я не замужем.	Увлекаюсь фотографией.	У меня есть собака.	Я езжу на мотоцикле.	
Я Анатолий.	Люблю рано вставать.	Люблю свое имя.	Хочу повсюду успевать.	Не люблю татуировки.	
Я ученица школы.	Люблю биологию.	Люблю ходить по магазинам.	Играю на пианино.	Люблю японскую кухню.	
Я работаю в автосервисе.	У меня есть жена.	Люблю скорость.	Сижу в вк.	Хотел бы поехать в Питер.	
У меня три кошки.	Я люблю музыку.	Я люблю готовить.	Я учусь в ВУЗе.	Я будущий врач	
Я дворник.	У меня есть хомяк.	Мечтаю прославится.	Играю на бандуре.	Люблю пинг-понг	
люблю кофе	я играю в театре	не езжу на маршрутках	люблю пиццу	хожу на хоккей	
Я сантехник.	Я не люблю свою профессию.	Мне нравятся акулы.	Мой любимый цвет серый.	У меня есть пес.	
Я холостяк	У меня была жена	У нас с ней двое детей	Вечерами смотрю телевизор	Бываю на рыбалке	
Я люблю рыбалку.	Я люблю фильмы о войне.	У меня есть брат.	Я живу в коттедже.	Я живу рядом с озером.	
Я люблю красный цвет.	У меня есть брат.	Я люблю джаз.	Мне нравиться прыгать.	Я люблю отдых в горах.	
Я максималистка	Я скорпион	Я хочу часы ходики	Я хочу работать в Яндексе	Я хочу путешествовать	
Я верю в чудеса.	Люблю сказки.	Верю в Деда Мороза.	Люблю делать подарки.	Люблю зиму.	
Я девочка 11 лет.	Занимаюсь танцами.	Люблю котов.	Любимое блюдо пицца.	У меня есть 2 сестры.	
Я люблю пиццу с грибами.	Хочу похудеть.	У меня трое внуков.	Я люблю свою невестку.	Я вкусно готовлю.	
Люблю отдыхать на море.	Я работаю в больнице.	У меня аллергия на цветы.	Не люблю наглых людей.	Закончил университет.	
Люблю Земфиру.	Играю в группе.	Учусь в школе.	Есть мотоцикл.	У меня 2 пса.	
Я учительница.	Я люблю готовить.	У меня есть муж.	Я скоро стану мамой.	Я люблю мармелад.	
Я школьница.	Люблю кошек.	Люблю мороженное.	Я занимаюсь танцами.	У меня есть брат.	
Я певица.	У меня есть 5 сестер.	Есть кошка и кот.	Я сочиняю стихи.	Люблю читать.	
У меня есть собака.	Мне 18 лет.	Я студентка.	Моя мама - учитель.	Я хочу уехать заграницу.	
Мне 15 лет.	Нравится гулять	Обожаю смотреть ужастики	Живу в Украине	Родители всё время работают	
Я начинающий бизнесмен	Есть сын и дочь	Увлекаюсь охотой	Мои родители - врачи	Любимый фрукт - яблоко	
Я Егор	В школе был двоечником	Я парикмахер	Мечтаю встретить свою любовь	Живу на 10 этаже	
Я работаю проводником	Я исколесил всю страну.	Я интересный.	Я даже видел НЛО.	Скоро я стану машинистом .	
Я верю в любовь.	Я доверчивая.	Я умная.	У меня есть собака.	Собака это мой самый лучший друг.	
Я студентка	Живу в городе	Хожу в галереи	Подрабатываю уборщицей	Буду педагогом	
Я машинист.	Я люблю спорт.	Я женат на иностранке.	У меня много обуви.	Я хожу на плавание.	
Я домохозяйка.	Работаю в интернете.	Жду ребенка.	Люблю слушать музыку.	люблю готовить десерты.	
Я люблю Бьёрк	Хочу ездить на мотоцикле	Люблю гулять зимой	Занимаюсь спортом	Любимый цвет красный	
У меня черная машина.	Я люблю рок.	У меня черный кошелек.	Мой любимый цвет белый.	Я люблю папу.	
Я люблю покушать	У меня есть три дочки	Я живу в частном доме	Я люблю печеньки	Я вяжу	
Я работаю учителем.	Люблю черный кофе.	Никогда не стриглась коротко.	Умею плавать.	Есть машина.	
Я люблю пиво	Я люблю рок музыку	Я охотник	Я люблю свою машину	У меня три работы.	
Я работаю волонтером в питомнике для животных.	У меня вьющиеся волосы.	Я путешествовал по Перу - посещал Мачу-Пикчу.	В пятом классе я приготовил маме торт на 8 марта.	Завтра я пойду в кино.	
У меня есть дочь	Хочу сменить пол	Люблю сладости	Не хочу в тюрьму	Не люблю ложь	
Я пенсионер	Я живу в деревне	У меня есть кошка и кот	Я хожу на рыбалку	У меня есть дочь и внуки	
я люблю жизнь	я люблю свою работу	у меня две кошки	хочу на синтезаторе	хочу съездить в Таиланд	
Я столяр	Люблю встречаться с друзьями	У меня есть дочь	Много читаю	Работаю на пасеке	
Я люблю сон	У меня есть машина	Мои родители пенсионеры	Я никогда не улыбался	Я мечтаю стать богатым	
Я музыкант.	Учусь в школе.	У меня есть две кошки.	Я играю на фортепиано.	Я хорошо готовлю.	
я строитель	обожаю группу Ленинград	у моей жены сестры близняшки	и наши дети близнецы	люблю пиццу	
Я честный человек.	Я люблю квас.	Я люблю Россию.	Люблю джаз.	Прыгаю с парашютом.	
Занимаюсь конным спортом.	Обожаю томаты.	Есть домашний питомец.	люблю готовить.	Веду свой блог.	
Городской житель	Хожу в школу	Люблю гимнастику	Люблю смотреть фильмы	Я весёлый человек	
я хореограф	я люблю рисовать	я люблю отдыхать на природе	у меня есть хомяк	я живу в селе	
Я журналистка	Вышла замуж за рокера	Не люблю ночью спать	Хорошо вожу машину	Я сочиняю рассказы	
Я интересная	Я активна	Я любвеобильна	Я коммуникабельна	Я целеустремленная	
Одинокий	Люблю печеньки и чай	Своя квартира	Ухаживаю за рыбками	Хобби - читать книги	
Я врач.	Я люблю погулять.	Я люблю сауну.	У меня две дочки и собака.	У меня есть мотоцикл.	
Я девушка.	Мне 21 год.	Я замужем.	Я люблю петь.	Люблю путешествовать.	
Я водитель.	У меня есть домик за городом.	Я люблю рыбалку.	Люблю простую домашнюю еду.	Я разведен.	
Я пенсионер.	Я не работаю.	Я люблю читать.	Я много путешествию.	У меня есть собака.	
Играю в игры.	Хожу в зал.	Каратист.	Мажор.	Люблю себя.	
Я мужчина.	Люблю спорт.	У меня есть лабрадор.	Я работаю менеджером.	Хочу увидеть океан.	
Я строитель	Хочу в Австралию	Я имею большую семью	Я учу английский	Я работаю за границей	
У меня два кота.	Я таксист.	У меня машина.	У меня сын и дочь.	Я живу в частном секторе.	
Я работаю продавцом.	У меня муж и двое детей.	Моя мечта - свой бизнес.	Я умею отлично готовить.	Люблю животных.	
Я бортпроводница.	Мой муж охранник.	У меня есть крыса.	Увлекаюсь чтением.	Бегаю по утрам.	
Я менеджер.	В прошлом году развелся.	Хочу поехать на Таити.	Недавно сделал себе тату.	Люблю кошек.	
Я люблю готовить	У меня белые кеды	Я много читаю	Я люблю поесть	У меня красивое имя	
Я студент	Мечтаю уехать в США	Люблю животных	Помогаю маме	Подрабатываю в бургерной	
Интересуюсь хоккеем.	Хотела стать космонавтом.	Блогер со стажем.	Меломан.	Люблю путешествовать.	
Я люблю котов	Я люблю собак	Я занимаюсь садом	Я люблю природу	Я фотограф	
Я люблю рисовать.	Мне нравится фэнтези.	Я много путешествую.	У меня есть блог.	Я сантехник.	
У меня высшее образование.	У меня есть девушка.	Я живу на пятом этаже.	Я иду в отпуск.	Я альпинист.	
Я библиотекарь.	Нравится вязать.	У меня есть кот Барсик.	Я не умею плавать.	Очень люблю сладкое.	
Я люблю бананы	У меня есть кот.	Мои родители врачи	Я никогда не летал	Я мечтаю стать учителем	
Люблю есть рыбу.	У меня трое племянников.	Боюсь высоты.	Работаю учителем .	Хочу переехать в Америку.	
Я инженер	Я люблю свою работу	У меня есть собака	Я обожаю скорость	Я люблю готовить	
я врач	работаю в поликлинике	у меня двое сыновей	я люблю читать	я вкусно готовлю	
Я фотограф.	Я люблю мультики.	Мне нравится путешествовать.	Я люблю змей.	Я курю.	
Я девочка.	Мне нравится пение.	Я люблю кукол.	Мечтаю поехать на море.	Люблю кушать пиццу.	
я умею рисовать	я не люблю радио	я живу в квартире	у меня три брата	учусь в колледже	
Я Аня.	Программист.	Работаю в турфирме.	люблю рок-концерты.	Хочу освоить фортепиано.	
Я люблю машины	У меня есть брат	Я вкусно готовлю	У меня много друзей	Я люблю осень	
я на пенсии	вдовец	живу за городом	люблю внуков	выращиваю цветы	
Я модельер.	У меня есть тайская кошка.	Я посещаю выставки.	Я побывала в Лондоне.	Я очень люблю горы.	
Я водитель маршрутки.	Женат на кондукторше.	люблю готовить.	Слушаю рок.	Ношу черные вещи.	
Я хороший человек.	Я женился на своей соседке.	У меня три кота .	Я живу у моря.	Я люблю лазанью.	
Люблю гулять под луной.	Считаюсь мечтателем.	Люблю сладости.	Я один в семье.	Не люблю подарки.	
Я студентка	Обожаю кошек	Развожу цветы	Подрабатываю в кафе	Мечтаю о любви	
Я космонавт	Я умею шевелить ушами	У меня шесть пальцев на ноге	Я сплю стоя	У меня пять сестер	
Я студент техникума.	Я вегетарианец.	Я хожу в спорт зал.	Я люблю танцевать.	Я люблю животных.	
люблю поп музыку	читаю детективы	путешествую	люблю кошек	не люблю мышей	
Я селекционер	Собираю марки	Катаюсь на санках	Пью глинтвейн	Наблюдаю за бактериями	
Я студент.	Имею свой заработок.	Занимаюсь спортом.	Люблю технические науки.	Люблю кофе.	
Я ветеринар.	Люблю собак.	Занимаюсь боулингом.	Люблю куховарить.	У меня есть жена и ребенок.	
Я домохозяйка.	Люблю детей.	Выращиваю цветы.	Варю кофе.	Гуляю с собакой.	
Я женат	Я работаю в автосалоне	У меня есть большой дом	Я мечтаю о детях	У меня есть своя ферма	
Я мужик.	Я женат, двое детей.	Я работаю слесарем.	Мое хобби охота.	Я развожу охотничьих собак.	
Я красивая девушка.	Занимаюсь дизайном.	Много фотографируюсь.	Увлекаюсь спортом.	В активном поиске.	
Я женщина.	Я домохозяйка в разводе	Люблю котиков	Слушаю Бузову	Ищу общения	
я живу у моря	я работаю на хорошей работе	мне нравится читать книги	у меня есть кот	я мама	
Я работаю в РЖД	люблю готовить	У меня 2 детей	Люблю заниматься рукоделием	Мечтаю о Феррари	
Я военнослужащий.	У меня двое детей.	Играю на компьютере.	Моё хобби рыбалка.	Не люблю кошек.	
Я продавец	У меня двое детей	Я люблю мужа	Мне нравится готовить	По гороскопу я лев	
У меня есть муж и дочь.	Люблю вышивать.	Люблю фастфуд.	Живу в доме без лифта.	Работаю следователем.	
Я мама	У меня две дочери	Я влюбилась	Я люблю готовить	У меня 2 собаки	
Я мужчина	Я живу в поселке Куеда.	Я люблю деревья.	Я играю в фрисби.	Я люблю секс.	
Я директор школы.	У меня есть муж и двое деток.	Я люблю мандарины	Я танцую	Я мечтаю поехать в Египет	
У меня есть девушка.	Я водитель.	У меня есть кошка.	Я учусь в университете.	Люблю ходить пешком.	
Я люблю баню.	Я хочу на море.	У меня есть муж.	Я ем роллы.	У меня выходные.	
Я выросла в деревне.	3 года назад вышла замуж	Работаю поваром	Люблю животных	Хорошо готовлю	
Я трансвестит.	Люблю вышивать.	Люблю огород.	Я бортпроводник.	Храню выпускное платье.	
Я люблю компот	Я мечтаю стать известным.	я лаборант	я не люблю собак	я хочу научится петь	
Я работаю косметологом	У меня есть сын	Хочу побывать в Индии	Люблю чистоту	Делаю украшения	
Я люблю вышивать	Я мечтаю открыть свою фабрику	Мне 21 год	Я хочу семью	Я очень трудолюбива	
Я гимнастка.	Я волонтер	Я студентка.	Я люблю читать.	Я боюсь темноты.	
я певица	люблю гулять	танцую лампаду	готовлю вкусно мясо	есть кот	
Я бухгалтер.	Люблю сухофрукты.	Владею английским языком.	Мечтаю стать бабушкой.	люблю готовить.	
я парикмахер	окончила колледж на отлично	увлекаюсь каллиграфией	вегетарианка	мой парень боксер	
Я домохозяйка	Люблю цветоводство	У меня трое детей	Планирую купить летом дачу	Муж работает в банке	
Я счастливая мама.	У меня дочка	Я люблю читать	Я люблю готовить	Я работаю няней	
Я учусь в университете на инженера.	Обожаю лошадей.	Хожу в тренажерный зал.	Люблю путешествовать.	Занимаюсь рукоделием.	
Я люблю свой город	Я умею петь	У меня есть собака	Я люблю печь печенье	Я работаю в кафе	
Я работаю в магазине.	Я имею друзей.	У меня две собаки.	Мечтаю объехать мир.	Я люблю плавать.	
у меня есть лодка	я люблю путешествовать	работаю флористом	ненавижу соседей	вчера была на концерте	
Мне нравятся звезды.	Я цветовод.	У меня есть дочка.	Я забочусь о семье.	Мне нравятся питомцы.	
Я хирург	Люблю смотреть сериалы	У меня 4 детей	Мой отец был летчиком	Занимаюсь боксом	
Я молодая девушка.	У меня много поклонников.	Я хожу в кафе.	Люблю подарки.	Я хорошо пеку.	
У меня пять сестер.	Мне 20 лет.	У меня 2 собаки.	Я люблю Феррари.	По утрам пью кофе.	
Я работаю в магазине.	У меня есть хаски.	Я люблю собак.	Мечтаю уехать в Испанию.	Занимаюсь фитнесом.	
Я отличник	Я учусь в университете	У меня хорошая работа	У меня большая семья	Я люблю свою жену	
Я люблю сладкое	люблю готовить	У меня есть кот	Я еду на море	У меня есть мечта	
Я в третий раз замужем.	Я люблю любить.	Я слушаю джаз.	Я не карьеристка.	Я пью сок, если нет кофе.	
Я часто езжу по стране.	Я люблю путешествия.	Я хорошо рисую	Я недавно женился	Я хорошо готовлю.	
Я водитель.	У меня есть жена и два сына.	Я люблю шашлыки.	Я люблю рыбалку.	Мне нравится шансон.	
У меня близорукость	Я занимаюсь йогой	Я люблю кофе	Я люблю соул	У меня есть татуировка	
Я банкир	У меня пятеро детей	Я люблю кататься на лыжах	Я слушаю рок	Я люблю читать романы	
Я банкир	Удачно нашёл работу	Знаю три языка	Помогаю бездомным	Люблю животных	
Я мужчина	Живу под Брянском	Мне 36 лет	у меня есть алабай	люблю пиво	
Я катаюсь на коньках.	Я готовлю мороженое.	Я Хочу Гродно.	Я патологоанатом.	Я собираю роботов.	
Я люблю гулять.	Я учусь в школе.	Я делаю кексы.	Я много сижу в интернете.	У меня две сестры.	
Я бухгалтер	Я не знаю английский язык	Я не умею водить автомобиль	Я толстая	Я хорошо плаваю	
Я учусь на дизайнера.	Люблю приключения.	У меня есть сестра.	Хочу побывать в Италии.	Я не ем мясо.	
